  Denonimation,  Date creation,  Siege social,  Forme juridique,  Secteur d activite,  url,  Registre de commerce,  Capital
KI ENERGY SARL,18/01/2010,YOUSSEF VILLA 24/C IMMEUBLE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/ki-energy-sarl, SNDKR2010B854,1000000
TAXI  EXPRESS  SARL,19/01/2010,SACRE COEUR 3 PYROTECHNIE  ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/taxi-express-sarl, SNDKR2010B1023,1000000
MDP IMPORT-EXPORT SARL,19/01/2010,DAKAR  REBEUSS  1  AVENUE DU...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/mdp-import-export-sarl, SNDKR2010B1026,1000000
BELGIQUE DISTRIBUTION SARL,19/01/2010,DAKAR  SICAP FOIRE VILLA N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/belgique-distribution-sarl, SNDKR2010B1027,1000000
RK CONSULTING SUARL,19/01/2010,DAKAR  MERMOZ PYROTECHNIE ...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/rk-consulting-suarl, SNDKR2010B1024,1000000
SENEGAL ENERGIE ALTERNATIVE SUARL,18/01/2010,OUEST FOIRE LOT N°78 -DAKAR,S.U.A.R.L,PRESTATION DE SERVICES INDUSTRIELS,http://www.creationdentreprise.sn/senegal-energie-alternative-suarl, SNDKR2010B911,1000000
AFCON ENERGY SARL,18/01/2010,OUEST FOIRE LOTISSEMENT DJILY...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/afcon-energy-sarl, SNDKR2010B910,1000000
INTERNATIONAL DE DISTRIBUTION ET DE SERVICES SARL,18/01/2010,SACRE COEUR 3 VILLA N°9679-...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIES PHARMACEUTIQUES,http://www.creationdentreprise.sn/international-de-distribution-et-de-services-sarl, SNDKR2010B909,1000000
HORIZONS PLUS SARL,18/01/2010,19 CITE SOM  HANN MARISTES à...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/horizons-plus-sarl, SNDKR2010B906,1500000
NDINDI MULTISERVICES SARL,18/01/2010,DAKAR-FASS MBAO ROUTE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/ndindi-multiservices-sarl, SNDKR2010B905,1000000
LA MAISON VERTE SARL,05/01/2010,DAKAR(SENEGAL) 24 RUE VICTOR...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/la-maison-verte-sarl, SNDKR2010B133,1000000
SOLUQUA CONSEIL SARL,11/01/2010,2 PLACE DE L&#039;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/soluqua-conseil-sarl, SNDKR2010B451,1000000
F.G TOURS SENEGAL SARL,13/01/2010,DAKAR-40 RUE WAGANE DIOUF,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TOURISME,http://www.creationdentreprise.sn/fg-tours-senegal-sarl, SNDKR2010B665,1000000
MAKHOUDIA SYLLA INGENIERIE - M.S.I SUARL,13/01/2010,DAKAR(SENEGAL)LOT A/12 SCAT...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/makhoudia-sylla-ingenierie-msi-suarl, SNDKR2010B648,1000000
AFRICAN BUREAU FOR CONSULTING AND MANAGEMENT -A.B.C.M,14/01/2010,SACRE COEUR II N°8609 G  ...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/african-bureau-consulting-and-management-abcm, SNDKR2010B844,1000000
WOLF AFRICA SARL,12/01/2010,DAKAR(SENEGAL) NIARI TALLY...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/wolf-africa-sarl, SNDKR2010B579,1000000
SOCIETE INDUSTRIELLE DE TRANSFORMATION DE CEREALES-SUARL,18/01/2010,DAKAR(SENEGAL)43 AVENUE EMILE...,S.U.A.R.L,AGRO-ALIMENTAIRE,http://www.creationdentreprise.sn/societe-industrielle-de-transformation-de-cereales-suarl, SNDKR2010B858,1000000
SUSTAINABLE POWER ELECTRIC COMPANY S.A,18/01/2010,DAKAR(SENEGAL) KM 19 BD DU...,SOCIETE ANONYME (S.A),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/sustainable-power-electric-company-sa, SNDKR2010B859,300000000
SEA WORLD COMPANY SARL,18/01/2010,FANN MERMOZ CORNICHE OUEST N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES ECONOMIQUES,http://www.creationdentreprise.sn/sea-world-company-sarl, SNDKR2010B856,1000000
DOLPHIN COMPANY SARL,18/01/2010,IMMEUBLE KEBE AVENUE PEYTAVIN...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES ECONOMIQUES,http://www.creationdentreprise.sn/dolphin-company-sarl, SNDKR2010B855,1000000
AGEM SENEGAL EXPLORATION -SUARL,13/01/2010,ZONE 09  VILLA N°20 ALMADIES,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/agem-senegal-exploration-suarl, SNDKR2010B442,1000000
TOURE BUSINESS SARL,12/01/2010,461 UNITE 25 PARCELLES...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/toure-business-sarl, SNDKR2010B 580,1000000
BATI  PRESTA - SUARL,12/01/2010,DAKAR(SENEGAL)70 BOULEVARD DE...,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/bati-presta-suarl, SNDKR2010B578,1000000
SANDOOR,12/01/2010,DAKAR(SENEGAL) GRAND DAKAR  ...,S.U.A.R.L,AGRO-INDUSTRIE,http://www.creationdentreprise.sn/sandoor, SNDKR2010B577,1000000
SO&#039; ART KOMMUNICATION-SUARL,07/01/2010,DAKAR YOFF CITE BIAGUI N°54,S.U.A.R.L,COMMUNICATION,http://www.creationdentreprise.sn/so-art-kommunication-suarl, SNDKR2010B204,1000000
AMAN COMPANY SUARL,07/01/2010,DAKAR FRONT DE TERRE ZONE DE...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/aman-company-suarl, SNDKR2010B203,1000000
SENEGALAISE DE TUYAUTERIE ET DE MONTAGE INDUSTRIEL - S.E.T.M.I   SARL,07/01/2010,DAKAR ZONE INDUSTRIELLE LOT 3...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATION DE SERVICES INDUSTRIELS,http://www.creationdentreprise.sn/senegalaise-de-tuyauterie-et-de-montage-industriel-setmi-sarl, SNDKR2010B202,1000000
CREPERIE DE FRANCE -SARL,07/01/2010,DAKAR(SENEGAL)ROUTE DE NGOR ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ALIMENTAIRE,http://www.creationdentreprise.sn/creperie-de-france-sarl, SNDKR2010B200,1000000
GRANITO-GROUP  SUARL,07/01/2010,HANN MARINAS LOTTO 1B PIANO 1...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/granito-group-suarl, SNDKR2010B199,1000000
B2R SARL,07/01/2010,SICAP AMITIE 2 N°4072 DAKAR(...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/b2r-sarl, SNDKR2010B198,1000000
I.A.G.U CONSULTING -SARL,11/01/2010,DAKAR(SENEGAL) LIBERTE VI...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/iagu-consulting-sarl, SNDKR2010B446,1000000
FUTUR MONDE DE L&#039;ENERGIE SOLAIRE-SARL,11/01/2010,DAKAR(SENEGAL)HANN MARISTES...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/futur-monde-de-lenergie-solaire-sarl, SNDKR2010B447,1000000
ALIPA -SUARL,07/01/2010,DAKAR(SENEGAL) CITE ELISABETH...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/alipa-suarl, SNDKR2010B205,1000000
LOGIDIA AFRICA  SARL,07/01/2010,DAKAR HANN MARISTES SCAT...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/logidia-africa-sarl, SNDKR2010B233,1000000
SEACOR-SENEGAL-SARL,18/12/2009,DAKAR(SENEGAL) PROVISOIREMENT...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRO-ALIMENTAIRE,http://www.creationdentreprise.sn/seacor-senegal-sarl, SNDKR2009B19875,5000000
NOVIS SENEGAL SARL,14/01/2010,DAKAR THIAROYE AZUR CITE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/novis-senegal-sarl, SNDKR2010B796,1000000
NOREYNI AGROBUSINESS ET NEGOCE SARL,14/01/2010,DAKAR(SENEGAL)CITE SOPRIM...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/noreyni-agrobusiness-et-negoce-sarl, SNDKR2010B797,1000000
S.E.M.A.C.E.R  SARL,14/01/2010,CITE KEREKOU HLM GRAND YOFF N...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/semacer-sarl, SNDKR2010B798,1000000
NOUVELLE COMPAGNIE SAHELIENNE DE TRANSIT SARL,14/01/2010,16 RUE PARCHAPPE x HUART à...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/nouvelle-compagnie-sahelienne-de-transit-sarl, SNDKR2010,1000000
AXIUM SARL,14/01/2010,DAKAR-28 RUE AMADOU ASSANE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/axium-sarl, SNDKR2010B801,1000000
AMBRE CREATIONS EXPORT SARL,22/12/2009,DAKAR-(SENEGAL)KM 4.3 ROUTE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE CULTURELLE,http://www.creationdentreprise.sn/ambre-creations-export-sarl, SNDKR2009B20157,1000000
IAMGOLD CORPORATION SENEGAL,18/11/2009,DAKAR(SENEGAL)ZONE 09 ROUTE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),,http://www.creationdentreprise.sn/iamgold-corporation-senegal, SNDKR2006E19874,1000000
FINANCE EXPERTISE TECHNOLOGIE- \"FINETECH\",31/12/2009,DAKAR CITE COMICO MERMOZ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/finance-expertise-technologie-finetech, SNDKR2009B20677,2000000
LES EXPERTS DU BATIMENT- \"EX BAT&#039;-SUARL\",04/01/2010,DAKAR(SENEGAL) 11 B SACRE...,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/les-experts-du-batiment-ex-bat-suarl, SNDKR2010B20,1000000
SOCIETE GENERALE DE FERRAILLE DU SENEGAL,18/11/2009,DAKAR(SENEGAL)SICAP SACRE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE METALLURGIQUE / SIDERURGIQUE,http://www.creationdentreprise.sn/societe-generale-de-ferraille-du-senegal, SNDKR2009B19886,2000000
INTERNATIONAL D&#039;EXPERTISE ET DE CONSEIL-SARL,11/01/2010,DAKAR(SENEGAL) ROUTE DE NGOR...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/international-dexpertise-et-de-conseil-sarl, SNDKR2010B234,1800000
SENEGAL EVENTS -SUARL,07/01/2010,SACRE COEUR 3   N° 8993 DAKAR...,S.U.A.R.L,COMMUNICATION,http://www.creationdentreprise.sn/senegal-events-suarl, SNDKR2010B235,1000000
2AN OPTICAL NTIC -SARL,11/01/2010,DAKAR(SENEGAL) GRAND-YOFF ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/2an-optical-ntic-sarl, SNDKR2010B450,1130000
ENERGIE NATURELLE DU SENEGAL -SA,11/01/2010,DAKAR(SENEGAL) ROUTE DE NGOR...,SOCIETE ANONYME (S.A),ENERGIE / PRODUITS PETROLIERS,http://www.creationdentreprise.sn/energie-naturelle-du-senegal-sa, SNDKR2010B449,10000000
BAOBAB FOODS SENEGAL SARL,11/01/2010,DAKAR-LIBERTE 6 EXTENSION...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRO-ALIMENTAIRE,http://www.creationdentreprise.sn/baobab-foods-senegal-sarl, SNDKR2010B448,1000000
BATICOMSS -SARL,15/02/2010,RUFISQUE- YENNE GUEDJ CITE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/baticomss-sarl, SNDKR2010B2342,1000000
THORINIUS CONSULTING SUARL,15/02/2010,OUEST FOIRE AUTOROUTE x VDN N...,S.U.A.R.L,COMMUNICATION,http://www.creationdentreprise.sn/thorinius-consulting-suarl, SNDKR2010B2340,1000000
CABINET D&#039;ARCHITECTURE ET D&#039;URBANISME DU SENEGAL-SUARL,23/02/2010,DAKAR SICAP LIBERTE 2...,S.U.A.R.L,BTP,http://www.creationdentreprise.sn/cabinet-darchitecture-et-durbanisme-du-senegal-suarl, SNDKR2010B2753,1000000
SEN SETAL SARL,23/02/2010,DAKAR-RUFISQUE CITE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ENTRETIEN ET NETTOYAGE,http://www.creationdentreprise.sn/sen-setal-sarl, SNDKR2010B2752,1000000
GROUP LINK4DEV- SARL,24/02/2010,DAKAR-LIBERTE 6 EXTENSION...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/group-link4dev-sarl, SNDKR2010B2906,1000000
PHARMACIE DU STADE,08/02/2010,RUFISQUE ROUTE DES HLM N°38,S.U.A.R.L,SANTE,http://www.creationdentreprise.sn/pharmacie-du-stade, SNDKR2010B1912,1000000
ORION CONSTRUCTIONS SARL,10/12/2009,DAKAR-MAMELLES VILLA N°63,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/orion-constructions-sarl, SNDKR2009B19683,1000000
IL SOGNO-GUENTE-GUI SARL,20/02/2010,DAKAR-USINE BENE TALLY ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),IMMOBILIER,http://www.creationdentreprise.sn/il-sogno-guente-gui-sarl, SNDKR2010B1105,1000000
COMITE D&#039;ENTREPRISE NATIONAL D&#039;AIR SENEGAL-CENAIR GIE,24/02/2010,DAKAR-AEROPORT INTERNATIONAL...,G.I.E,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/comite-dentreprise-national-dair-senegal-cenair-gie, SNDKR2009C19033,0
HTK HOLDING -SA,27/01/2010,DAKAR-48 RUE RAFFENEL,SOCIETE ANONYME (S.A),PRESTATIONS DE SERVICES ECONOMIQUES,http://www.creationdentreprise.sn/htk-holding-sa, SNDKR2010B1506,1555100000
CABINET HF CONSULTING SUARL,18/02/2010,LIBERTE 6 EXTENSION x VDN N°...,S.U.A.R.L,SANTE,http://www.creationdentreprise.sn/cabinet-hf-consulting-suarl, SNDKR2010B2578,1000000
SUD COMPAGNIE -SARL,16/02/2010,DAKAR  SACRE COEUR 1 VILLA N°...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/sud-compagnie-sarl, SNDKR2010B2431,1000000
ACKUA ENGINEERING -SARL,16/02/2010,DAKAR  ROUTE DE FRONT DE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/ackua-engineering-sarl, SNDKR2010B2432,1600000
KANGFORI  -SARL,16/02/2010,PROVISOIREMENT RUE VICTOR...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/kangfori-sarl, SNDKR2010B2433,1000000
PLUS INTERNATIONAL -SARL,16/02/2010,VILLA N°D28 B SCAT URBAM...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/plus-international-sarl, SNDKR2010B2434,1000000
INTEX -SA,15/02/2010,DAKAR(SENEGAL) 9 RUE...,SOCIETE ANONYME (S.A),COMMERCE,http://www.creationdentreprise.sn/intex-sa, SNDKR2010B2349,10000000
MAREMA -SUARL,15/02/2010,IMMEUBLE SOKHNA ANTA 9ème...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/marema-suarl, SNDKR2010B2347,1000000
KS2A SUARL,15/02/2010,DAKAR-KM 5 BOULEVARD DU...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/ks2a-suarl, SNDKR2010B2346,1000000
SENEGALAISE D&#039;EMBALLAGES -SA,15/02/2010,KM 2.8 BOULEVARD DU...,SOCIETE ANONYME (S.A),INDUSTRIE MANUFACTURIERE,http://www.creationdentreprise.sn/senegalaise-demballages-sa, SNDKR2010B2345,20000000
HOLDING MEDICAL CENTER SARL,15/02/2010,SACRE COEUR 3 MERMOZ...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),SANTE,http://www.creationdentreprise.sn/holding-medical-center-sarl, SNDKR2010B2343,1000000
CREA PUB COM -SARL,17/02/2010,SICAP LIBERTE 5 VILLA N°5598C...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMUNICATION,http://www.creationdentreprise.sn/crea-pub-com-sarl, SNDKR2010B2514,1000000
OWATRANS -SUARL,17/02/2010,DAKAR BANLIEUE PIKINE CITE...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/owatrans-suarl, SNDKR2010B2513,1000000
SWED-GROUP SENEGAL -SARL,17/02/2010,DAKAR SCAT URBAM HANN...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/swed-group-senegal-sarl, SNDKR2010B2512,1000000
DAKAR AIR ACADEMY  S.A,27/01/2009,IMMEUBLE EPI  BOULEVARD DU...,SOCIETE ANONYME (S.A),TRANSPORT AERIEN,http://www.creationdentreprise.sn/dakar-air-academy-sa, SNDKR2009B17545,10000000
OLYMPIQUE DE NGOR FOOT-PRO SARL,15/02/2010,DAKAR-NGOR STADE MUNICIPAL,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),SPORT,http://www.creationdentreprise.sn/olympique-de-ngor-foot-pro-sarl, SNDKR2010B2348,1000000
ECOPROMO SARL,17/02/2010,16 ROUTE DE L&#039;AEROPORT -...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIES PHARMACEUTIQUES,http://www.creationdentreprise.sn/ecopromo-sarl, SNDKR2010B2511,1000000
SANGUIS DISTRIBUTION SARL,18/02/2010,RUE A x RUE 2 POINT E DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),SANTE,http://www.creationdentreprise.sn/sanguis-distribution-sarl, SNDKR2010B2614,1000000
UNITED WORLD HOLDINGS,18/02/2010,93  AVENUE ANDRE...,SOCIETE ANONYME (S.A),COMMERCE,http://www.creationdentreprise.sn/united-world-holdings, SNDKR2010B2616,10000000
SUNU GAL CONGELATION SARL,18/02/2010,GUEDIAWAYE QUARTIER MBAYE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/sunu-gal-congelation-sarl, SNDKR2010B2615,1000000
SEN SERVICES INFORMATIQUES SUARL,18/02/2010,DAKAR- AVENUE BLAISE DIAGNE x...,S.U.A.R.L,NTIC / NOUVELLES TECHNOLOGIES / INFORMATIQUE,http://www.creationdentreprise.sn/sen-services-informatiques-suarl, SNDKR2010B2576,1000000
LOGWIN TRANSIT ET LOGISTIC -SA,11/02/2010,AVENUE ABDOULAYE FADIGA x RUE...,SOCIETE ANONYME (S.A),TRANSIT,http://www.creationdentreprise.sn/logwin-transit-et-logistic-sa, SNDKR2010B2185,10000000
TURKSEN SUARL,11/02/2010,AVENUE HASSAN II  N°57 ...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/turksen-suarl, SNDKR2010B2186,1000000
AGRORICE FARMING SA,11/02/2010,POINT E  RUE 1 PROLONG2E...,SOCIETE ANONYME (S.A),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/agrorice-farming-sa, SNDKR2010B2187,13170000
ELITE MINE SARL,11/02/2010,05  CITE SOPRIM à DAKAR,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/elite-mine-sarl, SNDKR2010B2189,1000000
TRANS ADAME SUARL,11/02/2010,DAKAR  NORD FOIRE N°15,S.U.A.R.L,TRANSIT,http://www.creationdentreprise.sn/trans-adame-suarl, SNDKR2010B2181,1000000
JINDAL METAL -SARL,08/02/2010,VILLA N°33 HANN MARISTES SCAT...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/jindal-metal-sarl, SNDKR2010B1915,1000000
SERVICE ASSISTANCE MECANIQUE AUTOMOBILE -SARL,08/02/2010,CITE ASECNA OUAKAM N°97-DAKAR...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/service-assistance-mecanique-automobile-sarl, SNDKR2010B1913,1000000
C R STAMPI SENEGAL SARL,05/01/2010,FASS PAILLOTES VILLA N°179 -...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/c-r-stampi-senegal-sarl, SNDKR2010B97,1000000
EIFFAGE TP,21/01/2010,AVENUE FELIX EBOUE x ROUTE...,SUCCURSALE,BTP,http://www.creationdentreprise.sn/eiffage-tp-0, SNDKR2010E1247,30776445EUROS
HOME INGENIERIE SENEGAL  -SARL,03/02/2010,DAKAR SICAP RUE 10 N°08,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/home-ingenierie-senegal-sarl, SNDKR2010B1884,1000000
DIDACTIKOS SUARL,02/02/2010,88  RUE MOUSSE DIOP x AVENUE...,S.U.A.R.L,EDITION / POLYGRAPHIQUE / IMPRIMERIE / PAPIERS-CARTON,http://www.creationdentreprise.sn/didactikos-suarl, SNDKR2010B1855,1000000
SHAM SENEGAL -SA,10/02/2010,SCAT URBAM HANN MARISTES LOT...,SOCIETE ANONYME (S.A),COMMERCE,http://www.creationdentreprise.sn/sham-senegal-sa, SNDKR2010B2089,10000000
TESLA TECHNOLOGIE SARL,10/02/2010,DAKAR- SCAT URBAM HANN...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),BTP,http://www.creationdentreprise.sn/tesla-technologie-sarl, SNDKR2010B2087,1000000
GROUPE BIEN VIVRE CONSTRUCTIONS SARL,10/02/2010,DAKAR  RUE 6 x 9 MEDINA,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/groupe-bien-vivre-constructions-sarl, SNDKR2010B2088,1000000
ATLANTIC TRADE -SA,10/02/2010,RESIDENCE BIRIMA PYROTECHNIE(...,SOCIETE ANONYME (S.A),COMMERCE,http://www.creationdentreprise.sn/atlantic-trade-sa, SNDKR2010B2058,10000000
AGRO-PROJECT  SARL,11/02/2010,CITE DES MAGISTRATS 2 CICES N...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),AGRICULTURE,http://www.creationdentreprise.sn/agro-project-sarl, SNDKR2010B2188,1800000
SYMPHONIE FM  -SARL,03/02/2010,DAKAR DIAMALAYE 2 N°59 E,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/symphonie-fm-sarl, SNDKR2010B1885,1000000
GUEOUL BUSINESS,11/02/2010,LIBERTE 6 VILLA N° 6031 à...,S.U.A.R.L,COMMERCE,http://www.creationdentreprise.sn/gueoul-business, SNDKR2010B2183,1000000
BIMEX,11/02/2010,37  RUE ABDOU KARIM BOURGI,S.U.R.L,COMMERCE,http://www.creationdentreprise.sn/bimex, SNDKR2010B2182,1000000
TERRE SUCRE SENEGAL -S.A.U,11/02/2010,PROVISOIREMENT 13-15   RUE...,SOCIETE ANONYME UNIPERSONELLE(S.A.U),COMMERCE,http://www.creationdentreprise.sn/terre-sucre-senegal-sau, SNDKR2010B2184,10000000
SOS TRANSPORT SARL,02/02/2010,IMMEUBLE IBRA DEGUN KA  HANN...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),TRANSPORT,http://www.creationdentreprise.sn/sos-transport-sarl, SNDKR2010B1832,5000000
GROUPE MARKETING-MARCHANDISING-DISTRIBUTION SARL,02/02/2010,SACRE COEUR 3 PYROTHECNIE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/groupe-marketing-marchandising-distribution-sarl, SNDKR2010B1834,1000000
CARBOMINES SENEGAL SA,02/02/2010,VDN  CITE DES JEUNES CADRES...,SOCIETE ANONYME (S.A),INDUSTRIE EXTRACTIVE - MINES ET CARRIERES,http://www.creationdentreprise.sn/carbomines-senegal-sa, SNDKR2010B1839,100000000
CAFE SENEGAL  -S.A,02/02/2010,VDN CITE DES JEUNES CADRES...,SOCIETE ANONYME (S.A),ALIMENTAIRE,http://www.creationdentreprise.sn/cafe-senegal-sa, SNDKR2010B1840,10000000
HAVAS MEDIA SENEGAL -SA,02/02/2010,DAKAR- 47 AVENUE HASSAN II BP...,SOCIETE ANONYME (S.A),COMMUNICATION,http://www.creationdentreprise.sn/havas-media-senegal-sa, SNDKR2010B1829,100000000
MBATHIE IMPORT SARL,09/02/2010,RUFISQUE- KM 22 ROUTE DE...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/mbathie-import-sarl, SNDKR2010B2012,10000000
MACOVER   -SARL,02/02/2010,DAKAR-OUEST FOIRE CITE AMADOU...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),ALIMENTAIRE,http://www.creationdentreprise.sn/macover-sarl, SNDKR2010B1878,1000000
TOTALTRUST TRADERS SARL,02/02/2010,2 PLACE DE L&#039;...,SOCIETE A RESPONSABILITE LIMITE (S.A.R.L),COMMERCE,http://www.creationdentreprise.sn/totaltrust-traders-sarl, SNDKR2010B1854,1000000
GROUPE S3i SENEGAL SUARL,02/02/2010,186 AVENUE LAMINE GUEYE x...,S.U.A.R.L,PRESTATIONS DE SERVICES,http://www.creationdentreprise.sn/groupe-s3i-senegal-suarl, SNDKR2010B1856,1000000
